2026-04-02 21:37:58,900 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040112.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040112.gif
2026-04-02 21:37:58,953 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040112.gif
2026-04-02 21:37:58,954 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040113.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040113.gif
2026-04-02 21:37:59,009 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040113.gif
2026-04-02 21:37:59,010 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040114.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040114.gif
2026-04-02 21:37:59,076 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040114.gif
2026-04-02 21:37:59,077 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040115.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040115.gif
2026-04-02 21:37:59,168 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040115.gif
2026-04-02 21:37:59,169 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040116.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040116.gif
2026-04-02 21:37:59,246 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040116.gif
2026-04-02 21:37:59,247 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040117.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040117.gif
2026-04-02 21:37:59,310 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040117.gif
2026-04-02 21:37:59,311 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040118.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040118.gif
2026-04-02 21:37:59,383 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040118.gif
2026-04-02 21:37:59,384 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040119.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040119.gif
2026-04-02 21:37:59,443 [WARNING] 이미지 아님: content-type=text/html;charset=utf-8 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040119.gif
2026-04-02 21:37:59,444 [INFO] 다운로드 요청: 파일=kor1_anl_1h_2026040120.gif, 주소=https://www.weather.go.kr/w/repositary/image/cht/img/kor1_anlmod_pb4_2026040120.gif
