report_date,window_start,window_end,stnId,obs_count,mean_BF,mean_CA_MID,mean_CA_TOT,mean_CH_MIN,mean_CT_LOW,mean_CT_MID,mean_CT_TOP,mean_GST_TM,mean_GST_WD,mean_GST_WS,mean_HM,mean_IR,mean_IX,mean_PA,mean_PR,mean_PS,mean_PT,mean_PV,mean_RN,mean_RN_DAY,mean_RN_INT,mean_RN_JUN,mean_SD_DAY,mean_SD_HR3,mean_SD_TOT,mean_SI,mean_SS,mean_ST_GD,mean_ST_SEA,mean_TA,mean_TD,mean_TE_005,mean_TE_01,mean_TE_02,mean_TE_03,mean_TS,mean_VS,mean_WC,mean_WD,mean_WH,mean_WP,mean_WS,mean_WW,mean_tm
20260409,20260409 09:00,20260409 21:00,247,2,-9.000,6.000,9.500,6.000,-9.000,-9.000,-9.000,761.500,3.500,3.000,87.000,2.000,-9.000,989.050,-1.100,1004.850,5.000,13.350,-4.500,8.600,-9.000,8.600,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,13.150,10.850,-99.000,-99.000,-99.000,-99.000,12.450,1589.000,-9.000,19.000,-9.000,-9.000,2.050,,202604091500.000
20260409,20260409 09:00,20260409 21:00,248,2,-9.000,9.000,9.500,3.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,91.500,2.000,-9.000,957.800,-1.500,1005.200,6.000,13.200,-4.400,8.500,-9.000,8.500,-9.000,-9.000,-9.000,-9.000,-4.500,-9.000,-9.000,12.150,10.750,-99.000,-99.000,-99.000,-99.000,11.550,1165.500,-9.000,27.000,-9.000,-9.000,1.450,,202604091500.000
20260409,20260409 09:00,20260409 21:00,251,2,-9.000,6.000,9.500,4.000,-9.000,-9.000,-9.000,746.000,2.500,3.000,89.000,2.000,-9.000,997.150,0.000,1004.150,5.000,13.950,-4.250,7.400,-9.000,7.400,-9.000,-9.000,-9.000,-4.445,-4.500,-9.000,-9.000,13.600,11.700,12.800,12.350,12.050,11.900,12.700,2476.500,-9.000,13.500,-9.000,-9.000,2.200,,202604091500.000
20260409,20260409 09:00,20260409 21:00,252,2,-9.000,8.000,9.000,37.500,-9.000,-9.000,-9.000,750.500,2.500,0.500,91.000,1.000,-9.000,1000.250,0.000,1004.700,3.500,13.650,0.150,9.650,-9.000,9.650,-9.000,-9.000,-9.000,-4.495,-4.500,-9.000,-9.000,12.900,11.400,12.950,12.450,12.350,12.150,12.450,2289.000,-9.000,14.500,-9.000,-9.000,1.900,,202604091500.000
20260409,20260409 09:00,20260409 21:00,253,2,-9.000,9.500,9.500,1.500,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,95.000,1.000,-9.000,1001.500,-1.700,1008.000,6.500,15.450,0.450,17.050,-9.000,17.050,-9.000,-9.000,-9.000,-4.480,-4.500,-9.000,-9.000,14.100,13.250,13.100,13.650,13.700,13.800,13.400,871.500,-9.000,11.000,-9.000,-9.000,1.450,,202604091500.000
20260409,20260409 09:00,20260409 21:00,254,2,-9.000,4.000,8.500,-4.000,-9.000,-9.000,-9.000,797.000,3.500,4.000,91.500,1.000,-3.500,990.400,-0.950,1005.750,5.000,13.700,0.300,13.600,-9.000,13.600,-9.000,-9.000,-9.000,-4.445,-4.500,-9.000,-9.000,12.650,11.250,12.500,12.250,12.150,12.200,12.500,632.500,-9.000,24.500,-9.000,-9.000,1.800,,202604091500.000
20260409,20260409 09:00,20260409 21:00,255,2,-9.000,9.000,9.500,3.500,-9.000,-9.000,-9.000,749.000,2.500,1.000,94.000,2.000,-9.000,1000.650,-1.800,1006.700,6.000,15.500,-4.350,14.500,-9.000,14.500,-9.000,-9.000,-9.000,-4.400,-4.500,-9.000,-9.000,14.450,13.450,12.300,13.150,13.050,12.850,12.600,1687.500,-9.000,26.000,-9.000,-9.000,1.250,,202604091500.000
20260409,20260409 09:00,20260409 21:00,257,2,-9.000,5.500,10.000,-4.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,92.500,1.000,-9.000,1005.600,-1.750,1006.350,7.000,14.550,0.450,11.350,-9.000,11.350,-9.000,-9.000,-9.000,-4.415,-4.500,-9.000,-9.000,13.800,12.500,12.700,11.950,11.400,11.700,13.300,1351.500,-9.000,3.500,-9.000,-9.000,0.750,,202604091500.000
20260409,20260409 09:00,20260409 21:00,258,2,-9.000,9.000,10.000,2.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,97.000,2.000,-9.000,1006.600,-0.550,1006.800,4.500,15.300,-3.600,44.600,-9.000,44.600,-9.000,-9.000,-9.000,-4.470,-4.500,-9.000,-9.000,13.600,13.050,12.600,12.850,12.950,13.200,12.000,783.000,-9.000,17.000,-9.000,-9.000,1.300,,202604091500.000
20260409,20260409 09:00,20260409 21:00,259,2,-9.000,9.500,10.000,3.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,98.000,2.000,-9.000,1003.550,-0.250,1005.450,5.000,15.600,-3.900,36.200,-9.000,36.200,-9.000,-9.000,-9.000,-4.410,-4.500,-9.000,-9.000,13.900,13.550,13.300,13.200,13.050,13.550,13.350,1149.500,-9.000,17.000,-9.000,-9.000,2.450,,202604091500.000
